pits,heuristics,c,iterations,seed,num_games,policy,type_system,sts_size,domain, max_alg, num_of_games,max_time,avg_score
10,1,10,75000,0,1000,2,2,100,5,BFB,1000,0.285453,35.276075
10,1,10,75000,0,1000,2,2,5000,5,BFB,1000,0.216844,32.59561
10,1,10,75000,0,1000,2,2,500,5,BFB,1000,0.181835,34.527222
10,1,10,75000,0,1000,2,2,700,5,BFB,1000,0.183104,33.979689
10,1,10,75000,0,1000,3,2,1000,5,BFB,1000,0.190121,33.638837
10,1,10,75000,0,1000,3,2,100,5,BFB,1000,0.281657,35.276075
10,1,10,75000,0,1000,3,2,5000,5,BFB,1000,0.216879,32.59561
10,1,10,75000,0,1000,3,2,500,5,BFB,1000,0.181344,34.527222
10,1,10,75000,0,1000,3,2,700,5,BFB,1000,0.182416,33.979689
10,1,15,100000,0,1000,1,2,1000,5,BFB,1000,0.241093,34.321591
10,1,15,100000,0,1000,1,2,100,5,BFB,1000,0.44472,35.449798
10,1,15,100000,0,1000,1,2,5000,5,BFB,1000,0.277835,33.418951
10,1,15,100000,0,1000,1,2,500,5,BFB,1000,0.251728,35.231104
10,1,15,100000,0,1000,1,2,700,5,BFB,1000,0.241898,34.87801
10,1,15,100000,0,1000,2,2,1000,5,BFB,1000,0.242705,34.321591
10,1,15,100000,0,1000,2,2,100,5,BFB,1000,0.463882,35.449798
10,1,15,100000,0,1000,2,2,5000,5,BFB,1000,0.279507,33.418951
10,1,15,100000,0,1000,2,2,500,5,BFB,1000,0.254021,35.231104
10,1,15,100000,0,1000,2,2,700,5,BFB,1000,0.244958,34.87801
10,1,15,100000,0,1000,3,2,1000,5,BFB,1000,0.241905,34.321591
10,1,15,100000,0,1000,3,2,100,5,BFB,1000,0.456342,35.449798
10,1,15,100000,0,1000,3,2,5000,5,BFB,1000,0.280018,33.418951
10,1,15,100000,0,1000,3,2,500,5,BFB,1000,0.253065,35.231104
10,1,15,100000,0,1000,3,2,700,5,BFB,1000,0.526629,34.87801
10,1,15,10000,0,1000,1,2,1000,5,BFB,1000,0.023571,34.31065
10,1,15,10000,0,1000,1,2,100,5,BFB,1000,0.019235,35.33104
10,1,15,10000,0,1000,1,2,5000,5,BFB,1000,0.024404,33.419699
10,1,15,10000,0,1000,1,2,500,5,BFB,1000,0.022368,35.242068
10,1,15,10000,0,1000,1,2,700,5,BFB,1000,0.023091,35.044461
10,1,15,10000,0,1000,2,2,1000,5,BFB,1000,0.023636,34.31065
10,1,15,10000,0,1000,2,2,100,5,BFB,1000,0.019438,35.33104
10,1,15,10000,0,1000,2,2,5000,5,BFB,1000,0.02434,33.419699
10,1,15,10000,0,1000,2,2,500,5,BFB,1000,0.022497,35.242068
10,1,15,10000,0,1000,2,2,700,5,BFB,1000,0.023135,35.044461
10,1,15,10000,0,1000,3,2,1000,5,BFB,1000,0.023643,34.31065
10,1,15,10000,0,1000,3,2,100,5,BFB,1000,0.019377,35.33104
10,1,15,10000,0,1000,3,2,5000,5,BFB,1000,0.024388,33.419699
10,1,15,10000,0,1000,3,2,500,5,BFB,1000,0.022459,35.242068
10,1,15,10000,0,1000,3,2,700,5,BFB,1000,0.023043,35.044461
10,1,15,1000,0,1000,1,2,1000,5,BFB,1000,0.001855,35.621372
10,1,15,1000,0,1000,1,2,100,5,BFB,1000,0.001868,35.485063
10,1,15,1000,0,1000,1,2,5000,5,BFB,1000,0.001865,35.621372
10,1,15,1000,0,1000,1,2,500,5,BFB,1000,0.001859,35.536989
10,1,15,1000,0,1000,1,2,700,5,BFB,1000,0.001857,35.634735
10,1,15,1000,0,1000,2,2,1000,5,BFB,1000,0.001858,35.621372
10,1,15,1000,0,1000,2,2,100,5,BFB,1000,0.001874,35.485063
10,1,15,1000,0,1000,2,2,5000,5,BFB,1000,0.001862,35.621372
10,1,15,1000,0,1000,2,2,500,5,BFB,1000,0.001858,35.536989
10,1,15,1000,0,1000,2,2,700,5,BFB,1000,0.001868,35.634735
10,1,15,1000,0,1000,3,2,1000,5,BFB,1000,0.001858,35.621372
10,1,15,1000,0,1000,3,2,100,5,BFB,1000,0.001881,35.485063
10,1,15,1000,0,1000,3,2,5000,5,BFB,1000,0.001866,35.621372
10,1,15,1000,0,1000,3,2,500,5,BFB,1000,0.001871,35.536989
10,1,15,1000,0,1000,3,2,700,5,BFB,1000,0.001862,35.634735
10,1,15,15000,0,1000,1,2,1000,5,BFB,1000,0.035462,34.286709
10,1,15,15000,0,1000,1,2,100,5,BFB,1000,0.030028,35.323788
10,1,15,15000,0,1000,1,2,5000,5,BFB,1000,0.038423,33.474549
10,1,15,15000,0,1000,1,2,500,5,BFB,1000,0.03404,35.379489
10,1,15,15000,0,1000,1,2,700,5,BFB,1000,0.034154,34.685998
10,1,15,15000,0,1000,2,2,1000,5,BFB,1000,0.03579,34.286709
10,1,15,15000,0,1000,2,2,100,5,BFB,1000,0.030493,35.323788
10,1,15,15000,0,1000,2,2,5000,5,BFB,1000,0.038594,33.474549
10,1,15,15000,0,1000,2,2,500,5,BFB,1000,0.033684,35.379489
10,1,15,15000,0,1000,2,2,700,5,BFB,1000,0.034413,34.685998
10,1,15,15000,0,1000,3,2,1000,5,BFB,1000,0.035504,34.286709
