pits,heuristics,c,iterations,seed,num_games,policy,type_system,sts_size,domain, max_alg, num_of_games,max_time,avg_score
10,1,10,25000,0,1000,2,2,5000,5,BFB,1000,0.069407,35.917541
10,1,10,25000,0,1000,2,2,500,5,BFB,1000,0.068462,39.642166
10,1,10,25000,0,1000,2,2,700,5,BFB,1000,0.06667,40.005714
10,1,10,25000,0,1000,3,2,1000,5,BFB,1000,0.064889,34.928459
10,1,10,25000,0,1000,3,2,100,5,BFB,1000,0.093986,45.16591
10,1,10,25000,0,1000,3,2,5000,5,BFB,1000,0.069212,35.917541
10,1,10,25000,0,1000,3,2,500,5,BFB,1000,0.068307,39.642166
10,1,10,25000,0,1000,3,2,700,5,BFB,1000,0.066615,40.005714
10,1,10,50000,0,1000,1,2,1000,5,BFB,1000,0.148601,38.423433
10,1,10,50000,0,1000,1,2,100,5,BFB,1000,0.321962,43.96678
10,1,10,50000,0,1000,1,2,5000,5,BFB,1000,0.148023,37.938137
10,1,10,50000,0,1000,1,2,500,5,BFB,1000,0.162653,40.927438
10,1,10,50000,0,1000,1,2,700,5,BFB,1000,0.156329,40.202876
10,1,10,50000,0,1000,2,2,1000,5,BFB,1000,0.149575,38.423433
10,1,10,50000,0,1000,2,2,100,5,BFB,1000,0.324933,43.96678
10,1,10,50000,0,1000,2,2,5000,5,BFB,1000,0.148086,37.938137
10,1,10,50000,0,1000,2,2,500,5,BFB,1000,0.162594,40.927438
10,1,10,50000,0,1000,2,2,700,5,BFB,1000,0.156503,40.202876
10,1,10,50000,0,1000,3,2,1000,5,BFB,1000,0.148671,38.423433
10,1,10,50000,0,1000,3,2,100,5,BFB,1000,0.324403,43.96678
10,1,10,50000,0,1000,3,2,5000,5,BFB,1000,0.147819,37.938137
10,1,10,50000,0,1000,3,2,500,5,BFB,1000,0.163091,40.927438
10,1,10,50000,0,1000,3,2,700,5,BFB,1000,0.156283,40.202876
10,1,10,5000,0,1000,1,2,1000,5,BFB,1000,0.011451,35.740785
10,1,10,5000,0,1000,1,2,100,5,BFB,1000,0.011541,40.446153
10,1,10,5000,0,1000,1,2,5000,5,BFB,1000,0.011768,33.195175
10,1,10,5000,0,1000,1,2,500,5,BFB,1000,0.010984,38.158654
10,1,10,5000,0,1000,1,2,700,5,BFB,1000,0.011315,36.815497
10,1,10,5000,0,1000,2,2,1000,5,BFB,1000,0.011413,35.740785
10,1,10,5000,0,1000,2,2,100,5,BFB,1000,0.025946,40.446153
10,1,10,5000,0,1000,2,2,5000,5,BFB,1000,0.011737,33.195175
10,1,10,5000,0,1000,2,2,500,5,BFB,1000,0.010999,38.158654
10,1,10,5000,0,1000,2,2,700,5,BFB,1000,0.01118,36.815497
10,1,10,5000,0,1000,3,2,1000,5,BFB,1000,0.011386,35.740785
10,1,10,5000,0,1000,3,2,100,5,BFB,1000,0.011552,40.446153
10,1,10,5000,0,1000,3,2,5000,5,BFB,1000,0.011659,33.195175
10,1,10,5000,0,1000,3,2,500,5,BFB,1000,0.010997,38.158654
10,1,10,5000,0,1000,3,2,700,5,BFB,1000,0.011168,36.815497
10,1,10,75000,0,1000,1,2,1000,5,BFB,1000,0.242341,38.907824
10,1,10,75000,0,1000,1,2,100,5,BFB,1000,0.705316,44.477949
10,1,10,75000,0,1000,1,2,5000,5,BFB,1000,0.232975,39.64137
10,1,10,75000,0,1000,1,2,500,5,BFB,1000,0.267695,42.264605
10,1,10,75000,0,1000,1,2,700,5,BFB,1000,0.262229,42.384427
10,1,10,75000,0,1000,2,2,1000,5,BFB,1000,0.24348,38.907824
10,1,10,75000,0,1000,2,2,100,5,BFB,1000,0.7205,44.477949
10,1,10,75000,0,1000,2,2,5000,5,BFB,1000,0.277593,39.64137
10,1,10,75000,0,1000,2,2,500,5,BFB,1000,0.267573,42.264605
10,1,10,75000,0,1000,2,2,700,5,BFB,1000,0.257125,42.384427
10,1,10,75000,0,1000,3,2,1000,5,BFB,1000,0.242841,38.907824
10,1,10,75000,0,1000,3,2,100,5,BFB,1000,0.714454,44.477949
10,1,10,75000,0,1000,3,2,5000,5,BFB,1000,0.233216,39.64137
10,1,10,75000,0,1000,3,2,500,5,BFB,1000,0.267673,42.264605
10,1,10,75000,0,1000,3,2,700,5,BFB,1000,0.257913,42.384427
10,1,15,100000,0,1000,1,2,1000,5,BFB,1000,0.349306,41.296636
10,1,15,100000,0,1000,1,2,100,5,BFB,1000,1.154399,44.903386
10,1,15,100000,0,1000,1,2,5000,5,BFB,1000,0.311738,36.911332
10,1,15,100000,0,1000,1,2,500,5,BFB,1000,0.399099,46.703772
10,1,15,100000,0,1000,1,2,700,5,BFB,1000,0.361292,41.615284
10,1,15,100000,0,1000,2,2,1000,5,BFB,1000,0.349633,41.296636
10,1,15,100000,0,1000,2,2,100,5,BFB,1000,1.186908,44.903386
10,1,15,100000,0,1000,2,2,5000,5,BFB,1000,0.311232,36.911332
10,1,15,100000,0,1000,2,2,500,5,BFB,1000,0.406152,46.703772
10,1,15,100000,0,1000,2,2,700,5,BFB,1000,0.363253,41.615284
10,1,15,100000,0,1000,3,2,1000,5,BFB,1000,0.348168,41.296636
10,1,15,100000,0,1000,3,2,100,5,BFB,1000,1.174454,44.903386
10,1,15,100000,0,1000,3,2,5000,5,BFB,1000,0.312581,36.911332
10,1,15,100000,0,1000,3,2,500,5,BFB,1000,0.401674,46.703772
10,1,15,100000,0,1000,3,2,700,5,BFB,1000,0.361007,41.615284
10,1,15,10000,0,1000,1,2,1000,5,BFB,1000,0.02344,38.140838
10,1,15,10000,0,1000,1,2,100,5,BFB,1000,0.026798,40.909206
10,1,15,10000,0,1000,1,2,5000,5,BFB,1000,0.024677,33.408439
10,1,15,10000,0,1000,1,2,500,5,BFB,1000,0.023231,38.646807
10,1,15,10000,0,1000,1,2,700,5,BFB,1000,0.023297,39.687236
10,1,15,10000,0,1000,2,2,1000,5,BFB,1000,0.023422,38.140838
10,1,15,10000,0,1000,2,2,100,5,BFB,1000,0.02674,40.909206
10,1,15,10000,0,1000,2,2,5000,5,BFB,1000,0.024725,33.408439
10,1,15,10000,0,1000,2,2,500,5,BFB,1000,0.023284,38.646807
10,1,15,10000,0,1000,2,2,700,5,BFB,1000,0.023292,39.687236
10,1,15,10000,0,1000,3,2,1000,5,BFB,1000,0.053366,38.140838
10,1,15,10000,0,1000,3,2,100,5,BFB,1000,0.026747,40.909206
10,1,15,10000,0,1000,3,2,5000,5,BFB,1000,0.024627,33.408439
10,1,15,10000,0,1000,3,2,500,5,BFB,1000,0.023383,38.646807
10,1,15,10000,0,1000,3,2,700,5,BFB,1000,0.023371,39.687236
10,1,15,1000,0,1000,1,2,1000,5,BFB,1000,0.001907,35.536266
10,1,15,1000,0,1000,1,2,100,5,BFB,1000,0.001851,38.566556
