heuristics,c,iterations,seed,num_games,backop,threshold,domain, max_alg, num_of_games,max_time,avg_score
1,5,100000,0,1000,1,10,5,UCT,1000,0.349137,32.08193
1,5,100000,0,1000,1,1,5,UCT,1000,0.346294,32.08193
1,5,100000,0,1000,1,25,5,UCT,1000,0.343524,32.08193
1,5,100000,0,1000,1,50,5,UCT,1000,0.34346,32.08193
1,10,100000,0,1000,1,10,5,UCT,1000,0.327175,32.103511
1,10,100000,0,1000,1,1,5,UCT,1000,0.330465,32.103511
1,10,100000,0,1000,1,25,5,UCT,1000,0.328324,32.103511
1,10,100000,0,1000,1,50,5,UCT,1000,0.327407,32.103511
1,15,100000,0,1000,1,10,5,UCT,1000,0.317937,32.109712
1,15,100000,0,1000,1,1,5,UCT,1000,0.318147,32.109712
1,15,100000,0,1000,1,25,5,UCT,1000,0.323249,32.109712
1,15,100000,0,1000,1,50,5,UCT,1000,0.320791,32.109712
1,5,1000,0,1000,3,25,5,UCT,1000,0.002185,34.125554
1,5,1000,0,1000,3,10,5,UCT,1000,0.002375,34.222139
1,5,1000,0,1000,3,50,5,UCT,1000,0.002161,34.438498
1,10,1000,0,1000,3,25,5,UCT,1000,0.002172,34.818759
1,10,1000,0,1000,3,10,5,UCT,1000,0.002083,34.907083
1,10,1000,0,1000,3,50,5,UCT,1000,0.002033,35.042282
1,5,1000,0,1000,3,1,5,UCT,1000,0.002309,35.32311
1,15,1000,0,1000,3,10,5,UCT,1000,0.002042,35.578616
1,15,1000,0,1000,3,25,5,UCT,1000,0.001994,35.582648
1,15,1000,0,1000,3,50,5,UCT,1000,0.001962,35.594936
1,10,1000,0,1000,3,1,5,UCT,1000,0.002202,36.087288
1,15,1000,0,1000,3,1,5,UCT,1000,0.002179,36.886075
1,5,5000,0,1000,3,50,5,UCT,1000,0.013676,32.63762
1,5,5000,0,1000,3,25,5,UCT,1000,0.01386,32.701444
1,5,5000,0,1000,3,10,5,UCT,1000,0.014153,32.763856
1,10,5000,0,1000,3,50,5,UCT,1000,0.012652,33.061676
1,10,5000,0,1000,3,25,5,UCT,1000,0.013041,33.197061
1,10,5000,0,1000,3,10,5,UCT,1000,0.012967,33.578159
1,5,5000,0,1000,3,1,5,UCT,1000,0.015117,33.772082
1,15,5000,0,1000,3,25,5,UCT,1000,0.013194,33.788243
1,15,5000,0,1000,3,50,5,UCT,1000,0.012201,33.829191
1,15,5000,0,1000,3,10,5,UCT,1000,0.012572,34.183989
1,10,5000,0,1000,3,1,5,UCT,1000,0.013648,34.225549
1,15,5000,0,1000,3,1,5,UCT,1000,0.013436,35.438704
1,5,10000,0,1000,3,25,5,UCT,1000,0.030708,32.318188
1,5,10000,0,1000,3,50,5,UCT,1000,0.029939,32.428732
1,5,10000,0,1000,3,10,5,UCT,1000,0.030506,32.482465
1,10,10000,0,1000,3,25,5,UCT,1000,0.027981,32.559326
1,10,10000,0,1000,3,50,5,UCT,1000,0.027752,32.682444
1,10,10000,0,1000,3,10,5,UCT,1000,0.028512,32.984552
1,5,10000,0,1000,3,1,5,UCT,1000,0.03169,33.246863
1,15,10000,0,1000,3,25,5,UCT,1000,0.02747,33.61281
1,15,10000,0,1000,3,50,5,UCT,1000,0.028351,33.656739
1,15,10000,0,1000,3,10,5,UCT,1000,0.027484,34.053152
1,10,10000,0,1000,3,1,5,UCT,1000,0.03174,34.072665
1,15,10000,0,1000,3,1,5,UCT,1000,0.028989,36.02697
1,5,15000,0,1000,3,10,5,UCT,1000,0.048013,32.219053
1,5,15000,0,1000,3,25,5,UCT,1000,0.04765,32.302349
1,5,15000,0,1000,3,50,5,UCT,1000,0.047299,32.305308
1,10,15000,0,1000,3,50,5,UCT,1000,0.043753,32.32497
1,10,15000,0,1000,3,25,5,UCT,1000,0.044224,32.398372
1,10,15000,0,1000,3,10,5,UCT,1000,0.044407,32.615716
1,15,15000,0,1000,3,50,5,UCT,1000,0.04214,32.852956
1,15,15000,0,1000,3,25,5,UCT,1000,0.042495,32.965658
1,5,15000,0,1000,3,1,5,UCT,1000,0.049375,33.180789
1,15,15000,0,1000,3,10,5,UCT,1000,0.042949,33.559005
1,10,15000,0,1000,3,1,5,UCT,1000,0.046978,33.807497
1,15,15000,0,1000,3,1,5,UCT,1000,0.045691,35.421759
1,10,25000,0,1000,3,50,5,UCT,1000,0.078473,32.149487
1,10,25000,0,1000,3,25,5,UCT,1000,0.078675,32.159102
1,5,25000,0,1000,3,25,5,UCT,1000,0.084607,32.177658
1,5,25000,0,1000,3,50,5,UCT,1000,0.089217,32.192563
1,5,25000,0,1000,3,10,5,UCT,1000,0.087077,32.213901
1,15,25000,0,1000,3,50,5,UCT,1000,0.075031,32.350408
1,10,25000,0,1000,3,10,5,UCT,1000,0.078654,32.428392
1,15,25000,0,1000,3,25,5,UCT,1000,0.074754,32.636343
1,15,25000,0,1000,3,10,5,UCT,1000,0.075898,32.840114
1,5,25000,0,1000,3,1,5,UCT,1000,0.088525,33.053565
1,10,25000,0,1000,3,1,5,UCT,1000,0.083608,33.350908
1,15,25000,0,1000,3,1,5,UCT,1000,0.080793,35.377472
