pits,back_propagation,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,mm_level,domain, max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time
6,1,2,2.5,1,50000,0,100,2,100,4,0,BFB+SR,MINMAX,100,36,0,0.140625,0.859375,9,0.092889,0.161228
6,1,2,2.5,1,50000,0,100,2,100,5,0,BFB+SR,MINMAX,100,30,0,0.014286,0.985714,1,0.082525,0.152486
6,1,2,2.5,1,50000,0,100,2,100,6,0,BFB+SR,MINMAX,100,28,0,0.000000,1.000000,0,0.085024,0.143278
6,1,2,2.5,1,50000,0,100,2,100,7,0,BFB+SR,MINMAX,100,23,0,0.012987,0.987013,1,0.085983,0.153468
6,1,2,2.5,1,50000,0,100,2,5000,3,0,BFB+SR,MINMAX,100,50,0,0.220000,0.780000,11,0.053648,0.137002
6,1,2,2.5,1,50000,0,100,2,5000,4,0,BFB+SR,MINMAX,100,35,0,0.015385,0.984615,1,0.060826,0.114832
6,1,2,2.5,1,50000,0,100,2,5000,5,0,BFB+SR,MINMAX,100,32,0,0.014706,0.985294,1,0.061728,0.114051
6,1,2,2.5,1,50000,0,100,2,5000,6,0,BFB+SR,MINMAX,100,25,0,0.000000,1.000000,0,0.066680,0.104249
6,1,2,2.5,1,50000,0,100,2,5000,7,0,BFB+SR,MINMAX,100,24,0,0.000000,1.000000,0,0.066817,0.103314
6,1,2,2.5,1,50000,0,100,2,500,3,0,BFB+SR,MINMAX,100,49,0,0.137255,0.862745,7,0.067888,0.135092
6,1,2,2.5,1,50000,0,100,2,500,4,0,BFB+SR,MINMAX,100,41,0,0.016949,0.983051,1,0.071458,0.125610
6,1,2,2.5,1,50000,0,100,2,500,5,0,BFB+SR,MINMAX,100,32,0,0.000000,1.000000,0,0.072604,0.122384
6,1,2,2.5,1,50000,0,100,2,500,6,0,BFB+SR,MINMAX,100,22,0,0.000000,1.000000,0,0.068672,0.117277
6,1,2,2.5,1,50000,0,100,2,500,7,0,BFB+SR,MINMAX,100,24,0,0.000000,1.000000,0,0.070687,0.117280
6,1,2,2.5,1,50000,0,100,2,700,3,0,BFB+SR,MINMAX,100,40,0,0.133333,0.866667,8,0.068439,0.139918
6,1,2,2.5,1,50000,0,100,2,700,4,0,BFB+SR,MINMAX,100,41,0,0.000000,1.000000,0,0.055923,0.125836
6,1,2,2.5,1,50000,0,100,2,700,5,0,BFB+SR,MINMAX,100,30,0,0.014286,0.985714,1,0.063549,0.119257
6,1,2,2.5,1,50000,0,100,2,700,6,0,BFB+SR,MINMAX,100,25,0,0.000000,1.000000,0,0.067512,0.115438
6,1,2,2.5,1,50000,0,100,2,700,7,0,BFB+SR,MINMAX,100,23,0,0.000000,1.000000,0,0.064900,0.112059
6,1,2,2.5,1,5000,0,100,2,1000,3,0,BFB+SR,MINMAX,100,46,0,0.203704,0.796296,11,0.005863,0.013015
6,1,2,2.5,1,5000,0,100,2,1000,4,0,BFB+SR,MINMAX,100,37,0,0.015873,0.984127,1,0.006294,0.012106
6,1,2,2.5,1,5000,0,100,2,1000,5,0,BFB+SR,MINMAX,100,38,0,0.000000,1.000000,0,0.006676,0.011397
6,1,2,2.5,1,5000,0,100,2,1000,6,0,BFB+SR,MINMAX,100,32,0,0.000000,1.000000,0,0.006487,0.010713
6,1,2,2.5,1,5000,0,100,2,1000,7,0,BFB+SR,MINMAX,100,22,0,0.000000,1.000000,0,0.006985,0.011028
6,1,2,2.5,1,5000,0,100,2,100,3,0,BFB+SR,MINMAX,100,51,0,0.204082,0.795918,10,0.007590,0.013690
6,1,2,2.5,1,5000,0,100,2,100,4,0,BFB+SR,MINMAX,100,42,0,0.137931,0.862069,8,0.008212,0.013630
6,1,2,2.5,1,5000,0,100,2,100,5,0,BFB+SR,MINMAX,100,39,0,0.016393,0.983607,1,0.008243,0.012920
6,1,2,2.5,1,5000,0,100,2,100,6,0,BFB+SR,MINMAX,100,22,0,0.012821,0.987179,1,0.007948,0.012067
6,1,2,2.5,1,5000,0,100,2,100,7,0,BFB+SR,MINMAX,100,22,0,0.000000,1.000000,0,0.008013,0.013012
6,1,2,2.5,1,5000,0,100,2,5000,3,0,BFB+SR,MINMAX,100,38,0,0.129032,0.870968,8,0.005367,0.013285
6,1,2,2.5,1,5000,0,100,2,5000,4,0,BFB+SR,MINMAX,100,40,0,0.033333,0.966667,2,0.006409,0.011693
6,1,2,2.5,1,5000,0,100,2,5000,5,0,BFB+SR,MINMAX,100,23,0,0.000000,1.000000,0,0.006006,0.011095
6,1,2,2.5,1,5000,0,100,2,5000,6,0,BFB+SR,MINMAX,100,26,0,0.000000,1.000000,0,0.006981,0.010575
6,1,2,2.5,1,5000,0,100,2,5000,7,0,BFB+SR,MINMAX,100,25,0,0.013333,0.986667,1,0.006952,0.010840
6,1,2,2.5,1,5000,0,100,2,500,3,0,BFB+SR,MINMAX,100,43,0,0.105263,0.894737,6,0.005859,0.012832
6,1,2,2.5,1,5000,0,100,2,500,4,0,BFB+SR,MINMAX,100,40,0,0.000000,1.000000,0,0.006514,0.012320
6,1,2,2.5,1,5000,0,100,2,500,5,0,BFB+SR,MINMAX,100,33,0,0.014925,0.985075,1,0.006607,0.011586
6,1,2,2.5,1,5000,0,100,2,500,6,0,BFB+SR,MINMAX,100,21,0,0.000000,1.000000,0,0.006911,0.010849
6,1,2,2.5,1,5000,0,100,2,500,7,0,BFB+SR,MINMAX,100,20,0,0.000000,1.000000,0,0.007684,0.010952
6,1,2,2.5,1,5000,0,100,2,700,3,0,BFB+SR,MINMAX,100,47,0,0.075472,0.924528,4,0.005447,0.012904
6,1,2,2.5,1,5000,0,100,2,700,4,0,BFB+SR,MINMAX,100,40,0,0.033333,0.966667,2,0.006007,0.011982
