pits,backop,heuristics,c,iterations,seed,num_games,ci_threshold,domain,max_alg,min_alg,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time,avg_score
10,4,3,2.5,25000,0,1000,1,0,UCT,UCT,1000,612,0,0.476804,0.523196,185,0.278472,0.280792,-0.000000
10,4,3,2.5,25000,0,1000,25,0,UCT,UCT,1000,618,0,0.494764,0.505236,189,0.125722,0.126910,-0.000000
10,4,3,2.5,25000,0,1000,50,0,UCT,UCT,1000,615,0,0.519481,0.480519,200,0.125063,0.125947,-0.000000
10,4,3,2.5,50000,0,1000,10,0,UCT,UCT,1000,638,0,0.519337,0.480663,188,0.274490,0.277006,-0.000000
10,4,3,2.5,50000,0,1000,1,0,UCT,UCT,1000,640,0,0.522222,0.477778,188,0.272763,0.275011,-0.000000
10,4,3,2.5,50000,0,1000,25,0,UCT,UCT,1000,654,0,0.537572,0.462428,186,0.270753,0.271961,-0.000000
10,4,3,2.5,50000,0,1000,50,0,UCT,UCT,1000,655,0,0.484058,0.515942,167,0.276424,0.278571,-0.000000
10,4,3,2.5,5000,0,1000,10,0,UCT,UCT,1000,562,0,0.525114,0.474886,230,0.022366,0.022640,-0.000000
10,4,3,2.5,5000,0,1000,1,0,UCT,UCT,1000,541,0,0.403050,0.596950,185,0.022419,0.022953,-0.000000
10,4,3,2.5,5000,0,1000,25,0,UCT,UCT,1000,540,0,0.658696,0.341304,303,0.048570,0.048703,-0.000000
10,4,3,2.5,5000,0,1000,50,0,UCT,UCT,1000,550,0,0.680000,0.320000,306,0.022211,0.022205,-0.000000
10,4,3,2.5,75000,0,1000,10,0,UCT,UCT,1000,666,0,0.598802,0.401198,200,0.421247,0.424982,-0.000000
10,4,3,2.5,75000,0,1000,1,0,UCT,UCT,1000,660,0,0.550000,0.450000,187,0.423821,0.424820,-0.000000
10,4,3,2.5,75000,0,1000,25,0,UCT,UCT,1000,646,0,0.553672,0.446328,196,0.419337,0.422182,-0.000000
10,4,3,2.5,75000,0,1000,50,0,UCT,UCT,1000,664,0,0.500000,0.500000,168,0.419088,0.422008,-0.000000
10,4,6,2.5,100000,0,1000,10,0,UCT,UCT,1000,492,0,0.647638,0.352362,329,0.700212,0.702678,-0.000000
