Seed, Instance, GS_level,  Iterations, H , GS_Move, GS_Move_Val, UCT_Move, UCT_Move_Val, UCT_GS_Move_Val, CDP_Move, CDP_Move_Val, CDP_GS_Move_Val, MM_Move, MM_Move_Val, MM_GS_Move_Val
610, 610, 12, 5000, h3 , 0, 1.000000, 1, 0.056090, 0.050173, 1, 0.056090 , 0.050173, 2, 1.000000 , -1.000000
611, 611, 12, 5000, h3 , 6, 0.000000, 3, -0.017617, 0.000000, 3, -0.015203 , 0.000000, 0, -1.000000 , 0.000000
612, 612, 12, 5000, h3 , 6, 0.000000, 3, 0.046396, 0.000000, 3, 0.042429 , 0.000000, 2, 0.000000 , 0.000000
613, 613, 12, 5000, h3 , 0, 1.000000, 0, 0.028311, 0.028311, 0, 0.033028 , 0.033028, 1, 0.000000 , -1.000000
614, 614, 12, 5000, h3 , 0, 1.000000, 1, 0.218540, 0.129913, 1, 0.220727 , 0.132967, 0, 1.000000 , 1.000000
615, 615, 12, 5000, h3 , 6, 0.000000, 5, 0.143634, 0.000000, 5, 0.142234 , 0.000000, 0, 1.000000 , 0.000000
616, 616, 12, 5000, h3 , 6, 0.000000, 1, 0.029240, 0.000000, 1, 0.031987 , 0.000000, 0, -1.000000 , 0.000000
617, 617, 12, 5000, h3 , 6, 0.000000, 0, 0.148410, 0.000000, 0, 0.148410 , 0.000000, 0, 1.000000 , 0.000000
618, 618, 12, 5000, h3 , 6, 0.000000, 0, 0.044678, 0.000000, 0, 0.048344 , 0.000000, 0, 1.000000 , 0.000000
619, 619, 12, 5000, h3 , 0, 1.000000, 3, 0.097113, 0.057274, 3, 0.095866 , 0.057274, 0, 1.000000 , 1.000000
620, 620, 12, 5000, h3 , 0, 1.000000, 1, 0.133134, 0.105161, 3, 0.133591 , 0.105161, 0, 1.000000 , 1.000000
621, 621, 12, 5000, h3 , 0, 1.000000, 3, 0.051647, 0.022026, 3, 0.042342 , 0.018785, 3, 1.000000 , -1.000000
622, 622, 12, 5000, h3 , 0, 1.000000, 1, 0.170068, 0.096197, 1, 0.170370 , 0.092135, 0, 1.000000 , 1.000000
623, 623, 12, 5000, h3 , 0, 1.000000, 0, 0.113027, 0.113027, 0, 0.113462 , 0.113462, 0, 1.000000 , 1.000000
624, 624, 12, 5000, h3 , 0, 1.000000, 2, 0.061911, 0.007778, 2, 0.065496 , 0.012277, 0, -1.000000 , -1.000000
625, 625, 12, 5000, h3 , 3, 0.000000, 3, 0.162230, 0.162230, 3, 0.162185 , 0.162185, 1, 0.000000 , -1.000000
626, 626, 12, 5000, h3 , 0, 1.000000, 0, 0.157543, 0.157543, 0, 0.156417 , 0.156417, 0, 1.000000 , 1.000000
