pits,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,domain, max_alg, min_alg, mm_level ,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games
6,1,2.5,2,100000,0,100,2,700,0,BFB,MINMAX,3,100,30,0,0.971429,0.028571,68
6,1,2.5,2,10000,0,100,2,1000,0,BFB,MINMAX,3,100,32,0,0.985294,0.014706,67
6,1,2.5,2,10000,0,100,2,100,0,BFB,MINMAX,3,100,50,0,0.7,0.3,35
6,1,2.5,2,10000,0,100,2,5000,0,BFB,MINMAX,3,100,24,0,1,0,76
6,1,2.5,2,10000,0,100,2,500,0,BFB,MINMAX,3,100,38,0,0.967742,0.032258,60
6,1,2.5,2,10000,0,100,2,700,0,BFB,MINMAX,3,100,37,0,0.968254,0.031746,61
6,1,2.5,2,1000,0,100,2,1000,0,BFB,MINMAX,3,100,45,0,1,0,55
6,1,2.5,2,1000,0,100,2,100,0,BFB,MINMAX,3,100,50,0,0.8,0.2,40
6,1,2.5,2,1000,0,100,2,5000,0,BFB,MINMAX,3,100,26,0,0.986486,0.013514,73
6,1,2.5,2,1000,0,100,2,500,0,BFB,MINMAX,3,100,36,0,0.984375,0.015625,63
6,1,2.5,2,1000,0,100,2,700,0,BFB,MINMAX,3,100,38,0,1,0,62
6,1,2.5,2,15000,0,100,2,1000,0,BFB,MINMAX,3,100,30,0,1,0,70
6,1,2.5,2,15000,0,100,2,100,0,BFB,MINMAX,3,100,47,0,0.716981,0.283019,38
6,1,2.5,2,15000,0,100,2,5000,0,BFB,MINMAX,3,100,26,0,1,0,74
6,1,2.5,2,15000,0,100,2,500,0,BFB,MINMAX,3,100,38,0,0.983871,0.016129,61
6,1,2.5,2,15000,0,100,2,700,0,BFB,MINMAX,3,100,36,0,1,0,64
6,1,2.5,2,5000,0,100,2,1000,0,BFB,MINMAX,3,100,33,0,0.985075,0.014925,66
6,1,2.5,2,5000,0,100,2,100,0,BFB,MINMAX,3,100,39,0,0.672131,0.327869,41
6,1,2.5,2,5000,0,100,2,5000,0,BFB,MINMAX,3,100,21,0,1,0,79
6,1,2.5,2,5000,0,100,2,500,0,BFB,MINMAX,3,100,43,0,0.982456,0.017544,56
6,1,2.5,2,5000,0,100,2,700,0,BFB,MINMAX,3,100,36,0,0.953125,0.046875,61
6,1,2.5,3,100000,0,100,2,1000,0,BFB,MINMAX,3,100,36,0,0.984375,0.015625,63
6,1,2.5,3,100000,0,100,2,100,0,BFB,MINMAX,3,100,52,0,0.895833,0.104167,43
6,1,2.5,3,100000,0,100,2,5000,0,BFB,MINMAX,3,100,29,0,1,0,71
6,1,2.5,3,100000,0,100,2,500,0,BFB,MINMAX,3,100,35,0,0.938462,0.061538,61
6,1,2.5,3,100000,0,100,2,700,0,BFB,MINMAX,3,100,35,0,0.938462,0.061538,61
6,1,2.5,3,10000,0,100,2,1000,0,BFB,MINMAX,3,100,29,0,0.957747,0.042254,68
