pits,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size, mm_level ,domain, max_alg, min_alg,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games
6,6,2.5,NA,10000,0,100,NA,NA,4,0,UCT,MINMAX,100,34,0,0.954545,0.045455,63
6,6,2.5,NA,10000,0,100,NA,NA,5,0,UCT,MINMAX,100,38,0,0.822581,0.177419,51
6,6,2.5,NA,1000,0,100,NA,NA,3,0,UCT,MINMAX,100,24,0,0.947368,0.052632,72
6,6,2.5,NA,1000,0,100,NA,NA,4,0,UCT,MINMAX,100,35,0,0.8,0.2,52
6,6,2.5,NA,1000,0,100,NA,NA,5,0,UCT,MINMAX,100,55,0,0.644444,0.355556,29
6,6,2.5,NA,1000,0,100,NA,NA,6,0,UCT,MINMAX,100,56,0,0.386364,0.613636,17
6,6,2.5,NA,15000,0,100,NA,NA,3,0,UCT,MINMAX,100,21,0,1,0,79
6,6,2.5,NA,15000,0,100,NA,NA,4,0,UCT,MINMAX,100,36,0,0.984375,0.015625,63
6,6,2.5,NA,15000,0,100,NA,NA,5,0,UCT,MINMAX,100,41,0,0.847458,0.152542,50
6,6,2.5,NA,5000,0,100,NA,NA,3,0,UCT,MINMAX,100,24,0,1,0,76
6,6,2.5,NA,5000,0,100,NA,NA,4,0,UCT,MINMAX,100,34,0,0.909091,0.090909,60
6,6,2.5,NA,5000,0,100,NA,NA,5,0,UCT,MINMAX,100,40,0,0.8,0.2,48
6,6,2.5,NA,5000,0,100,NA,NA,6,0,UCT,MINMAX,100,46,0,0.574074,0.425926,31
6,2,2.5,NA,100000,0,100,NA,NA,3,0,UCT,MINMAX,100,16,0,1,0,84
6,5,2.5,3,100000,0,100,2,500,3,0,BFB,MINMAX,100,46,0,0.62963,0.37037,34
6,5,2.5,3,100000,0,100,2,700,3,0,BFB,MINMAX,100,54,0,0.76087,0.23913,35
6,1,0.5,1,100000,0,100,2,1000,4,0,BFB,MINMAX,100,40,0,0.983333,0.016667,59
6,1,0.5,1,100000,0,100,2,1000,5,0,BFB,MINMAX,100,51,0,0.857143,0.142857,42
6,1,0.5,1,100000,0,100,2,100,3,0,BFB,MINMAX,100,55,0,0.822222,0.177778,37
6,1,0.5,1,100000,0,100,2,100,4,0,BFB,MINMAX,100,56,0,0.681818,0.318182,30
6,1,0.5,1,100000,0,100,2,100,5,0,BFB,MINMAX,100,52,0,0.354167,0.645833,17
6,1,0.5,1,100000,0,100,2,5000,3,0,BFB,MINMAX,100,22,0,1,0,78
6,1,0.5,1,100000,0,100,2,5000,4,0,BFB,MINMAX,100,37,0,0.968254,0.031746,61
6,1,0.5,1,100000,0,100,2,5000,5,0,BFB,MINMAX,100,45,0,0.981818,0.018182,54
6,1,0.5,1,100000,0,100,2,500,3,0,BFB,MINMAX,100,37,0,0.984127,0.015873,62
6,1,0.5,1,100000,0,100,2,500,4,0,BFB,MINMAX,100,44,0,0.875,0.125,49
6,1,0.5,1,100000,0,100,2,500,5,0,BFB,MINMAX,100,58,0,0.880952,0.119048,37
6,1,0.5,1,100000,0,100,2,700,3,0,BFB,MINMAX,100,38,0,0.951613,0.048387,59
6,1,0.5,1,100000,0,100,2,700,4,0,BFB,MINMAX,100,44,0,0.982143,0.017857,55
6,1,0.5,1,100000,0,100,2,700,5,0,BFB,MINMAX,100,50,0,0.82,0.18,41
6,1,0.5,1,10000,0,100,2,1000,3,0,BFB,MINMAX,100,34,0,1,0,66
6,1,0.5,1,10000,0,100,2,1000,4,0,BFB,MINMAX,100,33,0,0.955224,0.044776,64
6,1,0.5,1,10000,0,100,2,1000,5,0,BFB,MINMAX,100,42,0,0.913793,0.086207,53
6,1,0.5,1,10000,0,100,2,1000,6,0,BFB,MINMAX,100,57,0,0.744186,0.255814,32
6,1,0.5,1,10000,0,100,2,100,3,0,BFB,MINMAX,100,59,0,0.829268,0.170732,34
6,1,0.5,1,10000,0,100,2,100,4,0,BFB,MINMAX,100,69,0,0.483871,0.516129,15
6,1,0.5,1,10000,0,100,2,100,5,0,BFB,MINMAX,100,63,0,0.189189,0.810811,7
6,1,0.5,1,10000,0,100,2,100,6,0,BFB,MINMAX,100,52,0,0.25,0.75,12
6,1,0.5,1,10000,0,100,2,5000,3,0,BFB,MINMAX,100,35,0,1,0,65
6,1,0.5,1,10000,0,100,2,5000,4,0,BFB,MINMAX,100,37,0,1,0,63
6,1,0.5,1,10000,0,100,2,5000,5,0,BFB,MINMAX,100,40,0,0.9,0.1,54
6,1,0.5,1,10000,0,100,2,500,3,0,BFB,MINMAX,100,42,0,0.982759,0.017241,57
6,1,0.5,1,10000,0,100,2,500,4,0,BFB,MINMAX,100,38,0,0.903226,0.096774,56
6,1,0.5,1,10000,0,100,2,500,5,0,BFB,MINMAX,100,58,0,0.809524,0.190476,34
6,1,0.5,1,10000,0,100,2,500,6,0,BFB,MINMAX,100,55,0,0.8,0.2,36
6,1,0.5,1,10000,0,100,2,700,3,0,BFB,MINMAX,100,32,0,0.970588,0.029412,66
6,1,0.5,1,10000,0,100,2,700,4,0,BFB,MINMAX,100,36,0,0.953125,0.046875,61
6,1,0.5,1,10000,0,100,2,700,5,0,BFB,MINMAX,100,48,0,0.903846,0.096154,47
6,1,0.5,1,10000,0,100,2,700,6,0,BFB,MINMAX,100,61,0,0.74359,0.25641,29
6,1,0.5,1,1000,0,100,2,1000,3,0,BFB,MINMAX,100,31,0,0.985507,0.014493,68
6,1,0.5,1,1000,0,100,2,1000,4,0,BFB,MINMAX,100,44,0,0.964286,0.035714,54
6,1,0.5,1,1000,0,100,2,1000,5,0,BFB,MINMAX,100,48,0,0.884615,0.115385,46
6,1,0.5,1,1000,0,100,2,1000,6,0,BFB,MINMAX,100,53,0,0.87234,0.12766,41
6,1,0.5,1,1000,0,100,2,100,3,0,BFB,MINMAX,100,53,0,0.702128,0.297872,33
6,1,0.5,1,1000,0,100,2,100,4,0,BFB,MINMAX,100,65,0,0.571429,0.428571,20
6,1,0.5,1,1000,0,100,2,100,5,0,BFB,MINMAX,100,52,0,0.4375,0.5625,21
6,1,0.5,1,1000,0,100,2,100,6,0,BFB,MINMAX,100,56,0,0.090909,0.909091,4
6,1,0.5,1,1000,0,100,2,5000,3,0,BFB,MINMAX,100,36,0,0.984375,0.015625,63
6,1,0.5,1,1000,0,100,2,5000,4,0,BFB,MINMAX,100,47,0,0.90566,0.09434,48
6,1,0.5,1,1000,0,100,2,5000,5,0,BFB,MINMAX,100,45,0,0.909091,0.090909,50
6,1,0.5,1,1000,0,100,2,5000,6,0,BFB,MINMAX,100,52,0,0.8125,0.1875,39
6,1,0.5,1,1000,0,100,2,500,3,0,BFB,MINMAX,100,52,0,0.979167,0.020833,47
6,1,0.5,1,1000,0,100,2,500,4,0,BFB,MINMAX,100,51,0,0.938776,0.061224,46
6,1,0.5,1,1000,0,100,2,500,5,0,BFB,MINMAX,100,43,0,0.824561,0.175439,47
6,1,0.5,1,1000,0,100,2,500,6,0,BFB,MINMAX,100,62,0,0.578947,0.421053,22
6,1,0.5,1,1000,0,100,2,700,3,0,BFB,MINMAX,100,38,0,0.983871,0.016129,61
6,1,0.5,1,1000,0,100,2,700,4,0,BFB,MINMAX,100,40,0,0.983333,0.016667,59
6,1,0.5,1,1000,0,100,2,700,5,0,BFB,MINMAX,100,49,0,0.862745,0.137255,44
6,1,0.5,1,1000,0,100,2,700,6,0,BFB,MINMAX,100,54,0,0.76087,0.23913,35
6,1,0.5,1,15000,0,100,2,1000,3,0,BFB,MINMAX,100,31,0,0.985507,0.014493,68
6,1,0.5,1,15000,0,100,2,1000,4,0,BFB,MINMAX,100,46,0,0.944444,0.055556,51
6,1,0.5,1,15000,0,100,2,1000,5,0,BFB,MINMAX,100,52,0,0.854167,0.145833,41
6,1,0.5,1,15000,0,100,2,100,3,0,BFB,MINMAX,100,53,0,0.765957,0.234043,36
6,1,0.5,1,15000,0,100,2,100,4,0,BFB,MINMAX,100,50,0,0.56,0.44,28
6,1,0.5,1,15000,0,100,2,100,5,0,BFB,MINMAX,100,49,0,0.431373,0.568627,22
6,1,0.5,1,15000,0,100,2,5000,3,0,BFB,MINMAX,100,17,0,0.987952,0.012048,82
6,1,0.5,1,15000,0,100,2,5000,4,0,BFB,MINMAX,100,32,0,1,0,68
6,1,0.5,1,15000,0,100,2,5000,5,0,BFB,MINMAX,100,48,0,0.961538,0.038462,50
6,1,0.5,1,15000,0,100,2,500,3,0,BFB,MINMAX,100,41,0,0.932203,0.067797,55
6,1,0.5,1,15000,0,100,2,500,4,0,BFB,MINMAX,100,43,0,0.877193,0.122807,50
6,1,0.5,1,15000,0,100,2,500,5,0,BFB,MINMAX,100,48,0,0.846154,0.153846,44
6,1,0.5,1,15000,0,100,2,700,3,0,BFB,MINMAX,100,37,0,1,0,63
6,1,0.5,1,15000,0,100,2,700,4,0,BFB,MINMAX,100,38,0,0.983871,0.016129,61
6,1,0.5,1,15000,0,100,2,700,5,0,BFB,MINMAX,100,54,0,0.891304,0.108696,41
6,1,0.5,1,5000,0,100,2,1000,3,0,BFB,MINMAX,100,27,0,0.986301,0.013699,72
